Player,Minutes,AST %,REB %,USG %
Aaron Gordon,32.5,16.5,11.4,20.5
Aaron Holiday,24.5,18.8,4.6,18.2
Abdel Nader,15.8,6.8,5.6,16.4
Adam Mokoka,10.2,4.3,4.4,11.0
Admiral Schofield,11.2,5.7,5.9,11.8
Al Horford,30.2,18.7,11.1,17.3
Al-Farouq Aminu,21.1,8.8,10.2,12.7
Alec Burks,26.6,17.9,7.7,23.0
Alen Smailagic,9.9,13.3,9.5,17.5
Alex Caruso,18.4,13.8,5.1,13.6
Alex Len,17.6,8.3,14.9,17.6
Alfonzo McKinnie,14.8,3.2,9.5,14.7
Alize Johnson,6.9,7.5,18.2,13.3
Allen Crabbe,17.6,7.3,5.3,12.2
Allonzo Trier,12.1,16.4,4.6,20.8
Amile Jefferson,4.1,7.8,13.6,12.9
Amir Coffey,8.8,13.9,4.7,17.4
Andre Drummond,33.0,13.3,22.9,25.3
Andre Iguodala,19.9,18.1,8.8,12.1
Andre Roberson,12.4,7.4,13.1,14.5
Andrew Wiggins,34.4,18.0,7.0,26.9
Anfernee Simons,20.7,9.8,4.7,18.0
Ante Zizic,10.0,3.8,14.9,16.8
Anthony Davis,34.4,15.3,13.1,28.4
Anthony Tolliver,15.9,6.4,8.2,10.8
Antonius Cleveland,4.2,3.4,7.4,15.9
Anzejs Pasecniks,16.2,5.8,11.7,15.1
Aron Baynes,22.2,10.8,12.6,20.5
Austin Rivers,23.4,9.8,5.1,15.3
Avery Bradley,24.2,7.0,4.7,15.3
BJ Johnson,8.3,5.9,8.3,20.1
Bam Adebayo,33.6,23.8,15.3,21.2
Ben McLemore,22.8,5.0,4.5,15.7
Ben Simmons,35.4,33.5,10.7,20.6
Bismack Biyombo,19.4,7.9,14.5,16.8
Blake Griffin,28.5,18.4,7.9,27.7
Boban Marjanovic,9.6,7.3,22.9,25.8
Bobby Portis,21.1,11.2,11.4,20.7
Bogdan Bogdanovic,28.9,18.4,5.8,22.1
Bojan Bogdanovic,33.1,9.9,6.2,25.2
Bol Bol,12.4,10.3,11.2,20.6
Brad Wanamaker,19.3,18.1,5.0,15.2
Bradley Beal,36.0,28.5,5.8,33.8
Brandon Clarke,22.4,9.2,12.4,18.0
Brandon Goodwin,12.7,20.8,7.6,22.0
Brandon Ingram,33.9,19.2,8.4,27.5
Brandon Knight,18.5,21.6,4.7,20.7
Brian Bowen II,5.2,0.0,10.3,14.3
Brook Lopez,26.7,7.3,7.7,18.1
Bruce Brown,28.2,20.8,8.4,15.9
Bruno Caboclo,8.1,7.6,11.1,17.0
Bruno Fernando,12.7,10.1,13.1,14.7
Bryn Forbes,25.1,9.7,3.9,18.5
Buddy Hield,30.8,15.3,7.4,26.3
CJ McCollum,36.5,18.5,5.4,25.7
CJ Miles,16.1,9.1,3.4,16.9
Caleb Martin,17.6,12.2,5.8,15.2
Caleb Swanigan,10.7,13.8,17.6,13.2
Cam Reddish,26.7,7.9,6.5,18.5
Cameron Johnson,22.0,7.8,7.2,15.1
Cameron Payne,22.9,18.2,8.1,18.2
Caris LeVert,29.6,24.2,6.5,28.4
