Player,CS_3PA,CS_3P%
Aaron Gordon,3.1,36.5
Aaron Holiday,1.3,38.5
Abdel Nader,1.5,30.9
Al Horford,3.0,36.0
Al-Farouq Aminu,3.2,35.8
Alan Williams,0.2,0.0
Alec Burks,1.5,40.9
Alex Abrines,3.7,30.2
Alex Caruso,1.1,46.4
Alex Len,2.6,37.1
Alex Poythress,1.0,40.9
Alfonzo McKinnie,1.6,36.2
Alize Johnson,0.1,50.0
Allen Crabbe,5.3,39.3
Allonzo Trier,1.0,43.9
Amile Jefferson,-,-
Amir Johnson,0.8,30.0
Andre Drummond,0.3,12.5
Andre Iguodala,1.9,33.9
Andre Ingram,0.8,0.0
Andrew Bogut,-,-
Andrew Harrison,0.8,23.1
Andrew Wiggins,3.4,36.4
Anfernee Simons,0.9,27.8
Angel Delgado,-,-
Ante Zizic,-,-
Anthony Davis,2.2,37.7
Anthony Tolliver,3.2,37.7
Antonio Blakeney,1.1,42.2
Aron Baynes,1.2,35.0
Austin Rivers,2.2,37.0
Avery Bradley,3.0,35.6
BJ Johnson,1.0,42.9
Bam Adebayo,0.1,9.1
Ben McLemore,1.7,39.4
Ben Simmons,0.0,0.0
Billy Garrett,1.3,0.0
Bismack Biyombo,-,-
Blake Griffin,2.5,37.6
Boban Marjanovic,0.2,40.0
Bobby Portis,3.5,38.4
Bogdan Bogdanovic,3.2,40.0
Bojan Bogdanovic,3.6,44.9
Bonzie Colson,2.1,23.5
Brad Wanamaker,0.7,40.0
Bradley Beal,4.1,36.8
Brandon Goodwin,0.3,50.0
Brandon Ingram,1.7,31.5
Brandon Knight,1.6,29.7
Brandon Sampson,1.7,37.5
Brook Lopez,5.5,35.7
Bruce Brown,1.1,27.7
Bruno Caboclo,3.2,39.1
Bryn Forbes,3.5,45.3
Buddy Hield,4.9,46.0
C.J. Williams,0.7,27.3
CJ McCollum,3.2,39.4
CJ Miles,3.2,34.9
Caleb Swanigan,0.3,14.3
Cameron Payne,1.4,23.6
Cameron Reynolds,2.5,39.6
Caris LeVert,1.7,27.3
Carmelo Anthony,5.1,31.4
Cedi Osman,3.5,33.7
Chandler Hutchison,1.1,29.2
Chandler Parsons,2.9,30.1
Channing Frye,1.9,41.2
Chasson Randle,1.5,36.5
Cheick Diallo,0.1,25.0
Chimezie Metu,0.1,0.0
Chris Boucher,1.2,32.4
Chris Chiozza,0.3,50.0
Chris Paul,1.0,43.1
Christian Wood,1.1,37.5
Clint Capela,-,-
Cody Zeller,0.4,26.3
Collin Sexton,1.7,44.3
Corey Brewer,1.2,36.8
Cory Joseph,1.7,36.2
Courtney Lee,1.4,28.3
Cristiano Felicio,0.1,0.0
D'Angelo Russell,3.3,39.4
D.J. Augustin,1.8,44.5
D.J. Wilson,2.4,33.3
DJ Stephens,-,-
Dairis Bertans,2.5,30.0
Damian Jones,-,-
Damian Lillard,2.5,38.9
Damion Lee,1.8,36.2
