Player,Drives
Aaron Gordon,4.8
Aaron Holiday,7.6
Abdel Nader,3.0
Adam Mokoka,1.1
Admiral Schofield,0.4
Al Horford,1.4
Al-Farouq Aminu,2.3
Alec Burks,6.6
Alen Smailagic,1.6
Alex Caruso,3.2
Alex Len,0.4
Alfonzo McKinnie,1.5
Alize Johnson,0.9
Allen Crabbe,1.6
Allonzo Trier,3.1
Amile Jefferson,0.2
Amir Coffey,1.8
Andre Drummond,3.5
Andre Iguodala,1.1
Andre Roberson,0.9
Andrew Wiggins,14.1
Anfernee Simons,3.7
Ante Zizic,0.0
Anthony Davis,3.6
Anthony Tolliver,0.4
Antonius Cleveland,0.7
Anzejs Pasecniks,0.2
Aron Baynes,0.5
Austin Rivers,5.3
Avery Bradley,1.8
BJ Johnson,0.8
Bam Adebayo,4.4
Ben McLemore,1.1
Ben Simmons,11.9
Bismack Biyombo,0.0
Blake Griffin,6.2
Boban Marjanovic,0.0
Bobby Portis,1.7
Bogdan Bogdanovic,6.7
Bojan Bogdanovic,9.1
Bol Bol,0.9
Brad Wanamaker,3.9
Bradley Beal,16.1
Brandon Clarke,1.5
Brandon Goodwin,4.4
Brandon Ingram,12.7
Brandon Knight,4.8
Brian Bowen II,0.2
Brook Lopez,1.3
Bruce Brown,8.5
Bruno Caboclo,0.6
Bruno Fernando,0.4
Bryn Forbes,2.8
Buddy Hield,5.3
CJ McCollum,10.6
CJ Miles,1.6
Caleb Martin,2.6
Caleb Swanigan,0.1
Cam Reddish,5.0
Cameron Johnson,1.3
Cameron Payne,5.3
Caris LeVert,15.0
Carmelo Anthony,1.7
Carsen Edwards,1.3
Cedi Osman,5.3
Chandler Hutchison,5.6
Chandler Parsons,1.0
Charlie Brown Jr.,0.8
Chasson Randle,1.0
Cheick Diallo,0.4
Chimezie Metu,0.3
Chris Boucher,0.5
Chris Chiozza,5.2
Chris Clemons,1.3
Chris Paul,12.8
Chris Silva,0.1
Christian Wood,2.3
Clint Capela,0.2
Coby White,7.0
Cody Martin,3.6
Cody Zeller,2.9
Collin Sexton,13.9
Corey Brewer,0.6
Cory Joseph,5.3
Courtney Lee,1.3
Cristiano Felicio,0.2
D'Angelo Russell,9.0
D.J. Augustin,9.3
D.J. Wilson,0.6
DaQuan Jeffries,0.8
Damian Jones,0.2
Damian Lillard,15.2
Damion Lee,5.5
Damyean Dotson,1.9
Daniel Gafford,0.2
Daniel Theis,0.4
Danilo Gallinari,3.8
Danny Green,1.6
Dante Exum,3.7
Danuel House Jr.,2.8
Dario Saric,2.0
Darius Bazley,2.8
Darius Garland,11.0
Daryl Macon,0.3
David Nwaba,1.3
Davis Bertans,1.9
De'Aaron Fox,18.3
De'Andre Hunter,6.2
De'Anthony Melton,4.6
DeAndre Jordan,0.1
DeAndre' Bembry,4.5
DeMar DeRozan,19.8
DeMarre Carroll,1.8
Dean Wade,0.2
Deandre Ayton,0.5
Dejounte Murray,8.7
Delon Wright,7.0
Dennis Schroder,11.7
Dennis Smith Jr.,6.8
Denzel Valentine,2.7
Deonte Burton,1.7
Derrick Favors,0.2
Derrick Jones Jr.,1.3
Derrick Rose,17.6
