Player,Height
Aaron Brooks,6-0
Aaron Gordon,6-9
Aaron Harrison,6-6
Adreian Payne,6-10
Al Horford,6-10
Al Jefferson,6-10
Al-Farouq Aminu,6-9
Alan Anderson,6-6
Alan Williams,6-8
Alec Burks,6-6
Alex Len,7-1
Alex Stepheson,6-10
Alexis Ajinca,7-2
Allen Crabbe,6-6
Alonzo Gee,6-6
Amar'e Stoudemire,6-10
Amir Johnson,6-9
Anderson Varejao,6-11
Andre Drummond,6-11
Andre Iguodala,6-6
Andre Miller,6-3
Andre Roberson,6-7
Andrea Bargnani,7-0
Andrew Bogut,7-0
Andrew Goudelock,6-3
Andrew Nicholson,6-9
Andrew Wiggins,6-8
Anthony Bennett,6-8
Anthony Brown,6-7
Anthony Davis,6-10
Anthony Morrow,6-5
Anthony Tolliver,6-8
Archie Goodwin,6-5
Aron Baynes,6-10
Arron Afflalo,6-5
Austin Rivers,6-4
Avery Bradley,6-2
Axel Toupane,6-7
Ben McLemore,6-5
Beno Udrih,6-3
Bismack Biyombo,6-9
Blake Griffin,6-10
Boban Marjanovic,7-3
Bobby Portis,6-11
Bojan Bogdanovic,6-8
Boris Diaw,6-8
Bradley Beal,6-5
Brandan Wright,6-10
Branden Dawson,6-6
Brandon Bass,6-8
Brandon Jennings,6-1
Brandon Knight,6-3
Brandon Rush,6-6
Brian Roberts,6-1
Briante Weber,6-2
Brook Lopez,7-0
Bruno Caboclo,6-9
Bryce Cotton,6-1
Bryce Dejean-Jones,6-6
C.J. Watson,6-2
C.J. Wilcox,6-5
CJ McCollum,6-4
CJ Miles,6-6
Cameron Bairstow,6-9
Cameron Payne,6-3
Carl Landry,6-9
Carmelo Anthony,6-8
Caron Butler,6-7
Chandler Parsons,6-10
Channing Frye,6-11
Charlie Villanueva,6-11
Chase Budinger,6-7
Chris Andersen,6-10
Chris Bosh,6-11
Chris Copeland,6-9
Chris Johnson,6-6
Chris Kaman,7-0
Chris McCullough,6-11
Chris Paul,6-0
Christian Wood,6-11
Chuck Hayes,6-6
Cleanthony Early,6-8
Cliff Alexander,6-8
Clint Capela,6-10
Cody Zeller,7-0
Cole Aldrich,6-11
Corey Brewer,6-9
Cory Jefferson,6-9
Cory Joseph,6-3
Coty Clarke,6-7
Courtney Lee,6-5
Cristiano Felicio,6-10
D'Angelo Russell,6-5
