Player,PP100Pos
Aaron Brooks,21.8
Aaron Gordon,18.9
Aaron Harrison,8.7
Adreian Payne,13.4
Al Horford,22.9
Al Jefferson,25.3
Al-Farouq Aminu,17.5
Alan Anderson,16.2
Alan Williams,18.6
Alec Burks,26.1
Alex Len,18.6
Alex Stepheson,14.7
Alexis Ajinca,19.9
Allen Crabbe,19.2
Alonzo Gee,9.7
Amar'e Stoudemire,19.8
Amir Johnson,15.6
Anderson Varejao,13.5
Andre Drummond,24.6
Andre Iguodala,12.5
Andre Miller,16.3
Andre Roberson,10.7
Andrea Bargnani,23.7
Andrew Bogut,12.4
Andrew Goudelock,20.2
Andrew Nicholson,23.2
Andrew Wiggins,29.1
Anthony Bennett,15.4
Anthony Brown,9.5
Anthony Davis,33.5
Anthony Morrow,19.9
Anthony Tolliver,14.3
Archie Goodwin,21.6
Aron Baynes,20.4
Arron Afflalo,19.5
Austin Rivers,19.6
Avery Bradley,22.0
Axel Toupane,12.4
Ben McLemore,17.2
Beno Udrih,14.6
Bismack Biyombo,12.8
Blake Griffin,31.3
Boban Marjanovic,29.4
Bobby Portis,19.5
Bojan Bogdanovic,20.7
Boris Diaw,17.1
Bradley Beal,26.8
Brandan Wright,19.6
Branden Dawson,8.5
Brandon Bass,17.3
Brandon Jennings,18.3
Brandon Knight,26.1
Brandon Rush,13.7
Brian Roberts,21.2
Briante Weber,9.2
Brook Lopez,30.5
Bruno Caboclo,3.3
Bryce Cotton,10.1
Bryce Dejean-Jones,14.1
C.J. Watson,10.3
C.J. Wilcox,19.9
CJ McCollum,29.3
CJ Miles,24.5
Cameron Bairstow,15.4
Cameron Payne,19.8
Carl Landry,29.4
Carmelo Anthony,31.6
Caron Butler,16.7
Chandler Parsons,23.4
Channing Frye,18.1
Charlie Villanueva,22.9
Chase Budinger,14.0
Chris Andersen,13.3
Chris Bosh,28.8
Chris Copeland,16.0
Chris Johnson,12.0
Chris Kaman,19.5
Chris McCullough,15.1
Chris Paul,29.3
Christian Wood,19.2
Chuck Hayes,7.8
Cleanthony Early,10.2
Cliff Alexander,12.7
Clint Capela,17.7
Cody Zeller,17.7
Cole Aldrich,20.4
Corey Brewer,16.6
Cory Jefferson,21.0
Cory Joseph,16.7
Coty Clarke,50.0
Courtney Lee,16.4
Cristiano Felicio,16.1
D'Angelo Russell,23.1
D.J. Augustin,19.5
Dahntay Jones,16.5
Damian Lillard,34.2
Damien Inglis,11.4
Damjan Rudez,13.2
Danilo Gallinari,27.8
Danny Green,14.0
Dante Cunningham,12.0
Darrell Arthur,17.1
Darren Collison,22.2
Darrun Hilliard,19.5
David Lee,22.7
David West,19.7
DeAndre Jordan,18.7
DeJuan Blair,12.8
DeMar DeRozan,33.2
DeMarcus Cousins,36.6
DeMarre Carroll,18.2
Delon Wright,22.4
Dennis Schroder,26.7
Deron Williams,21.9
Derrick Favors,26.5
Derrick Rose,25.3
Derrick Williams,25.9
Devin Booker,23.9
Devin Harris,18.3
Devyn Marble,11.5
Dewayne Dedmon,17.9
Dion Waiters,17.1
Dirk Nowitzki,28.7
Donald Sloan,16.0
Donatas Motiejunas,20.2
Doug McDermott,19.8
Draymond Green,18.9
Drew Gooden,12.7
Duje Dukan,11.5
Dwight Howard,21.0
Dwight Powell,19.6
Dwyane Wade,31.4
E'Twaun Moore,17.2
Ed Davis,15.5
Edy Tavares,16.3
Elfrid Payton,17.8
Elijah Millsap,10.3
Elliot Williams,9.2
Elton Brand,14.8
Emmanuel Mudiay,20.6
Enes Kanter,29.7
Eric Bledsoe,28.5
Eric Gordon,22.6
Eric Moreland,7.7
Erick Green,15.5
Ersan Ilyasova,20.0
Evan Fournier,23.5
Evan Turner,17.9
Festus Ezeli,19.7
Frank Kaminsky,17.4
Garrett Temple,14.4
Gary Harris,18.8
Gary Neal,23.1
George Hill,17.4
Gerald Green,19.9
Gerald Henderson,21.5
Giannis Antetokounmpo,24.0
Glenn Robinson III,16.5
Goran Dragic,21.5
Gordon Hayward,28.2
Gorgui Dieng,18.5
Greg Monroe,26.2
Greg Smith,10.9
Greivis Vasquez,14.4
Harrison Barnes,18.0
Hassan Whiteside,25.0
Henry Sims,16.8
Hollis Thompson,16.8
Ian Clark,19.6
Ian Mahinmi,17.7
Iman Shumpert,11.9
Isaiah Canaan,20.8
Isaiah Thomas,32.8
Ish Smith,21.0
J.J. Barea,23.9
JJ Hickson,22.5
JJ O'Brien,0.0
JJ Redick,28.6
JR Smith,20.5
JaKarr Sampson,15.7
JaMychal Green,19.6
JaVale McGee,23.1
Jabari Parker,22.3
Jae Crowder,21.5
Jahlil Okafor,28.8
Jamal Crawford,25.4
Jameer Nelson,14.5
James Anderson,11.6
James Ennis III,24.1
James Harden,36.9
James Johnson,15.7
James Jones,19.0
James Michael McAdoo,21.1
James Young,7.0
Jared Cunningham,14.5
Jared Dudley,14.7
Jared Sullinger,21.1
Jarell Eddie,19.4
Jarell Martin,20.1
Jarnell Stokes,18.4
Jarrett Jack,19.7
Jason Smith,22.5
Jason Terry,16.0
Jason Thompson,15.4
Jeff Ayres,13.4
