Player,Post_Ups
AJ Hammons,1.0
Aaron Brooks,0.0
Aaron Gordon,1.1
Aaron Harrison,0.0
Adreian Payne,0.6
Al Horford,7.5
Al Jefferson,6.1
Al-Farouq Aminu,0.4
Alan Anderson,0.1
Alan Williams,1.5
Alec Burks,0.0
Alex Abrines,0.0
Alex Len,2.8
Alex Poythress,0.0
Alexis Ajinca,0.6
Allen Crabbe,0.0
Alonzo Gee,0.0
Amir Johnson,0.9
Anderson Varejao,0.5
Andre Drummond,5.0
Andre Iguodala,0.7
Andre Roberson,0.1
Andrew Bogut,1.3
Andrew Harrison,0.1
Andrew Nicholson,1.1
Andrew Wiggins,4.1
Anthony Bennett,0.5
Anthony Brown,0.0
Anthony Davis,6.5
Anthony Morrow,0.2
Anthony Tolliver,0.8
Archie Goodwin,0.1
Arinze Onuaku,1.3
Aron Baynes,1.0
Arron Afflalo,1.9
Austin Rivers,0.1
Avery Bradley,0.0
Axel Toupane,0.0
Ben Bentil,1.0
Ben McLemore,0.0
Beno Udrih,0.0
Bismack Biyombo,1.1
Blake Griffin,7.2
Boban Marjanovic,2.8
Bobby Brown,0.0
Bobby Portis,1.0
Bojan Bogdanovic,0.4
Boris Diaw,3.8
Bradley Beal,0.4
Brandan Wright,0.6
Brandon Bass,1.7
Brandon Ingram,1.2
Brandon Jennings,0.0
Brandon Knight,0.0
Brandon Rush,0.0
Brian Roberts,0.0
Briante Weber,0.0
Brice Johnson,1.0
Brook Lopez,9.8
Bruno Caboclo,0.0
Bryn Forbes,0.0
Buddy Hield,0.1
C.J. Watson,0.0
C.J. Wilcox,0.0
CJ McCollum,0.2
CJ Miles,0.1
Cameron Payne,0.0
Caris LeVert,0.1
Carmelo Anthony,6.3
Chandler Parsons,0.7
Channing Frye,0.9
Chasson Randle,0.0
Cheick Diallo,1.2
Chinanu Onuaku,0.4
Chris Andersen,0.1
Chris McCullough,0.1
Chris Paul,1.6
Christian Wood,0.2
Clint Capela,0.5
Cody Zeller,0.7
Cole Aldrich,0.3
Corey Brewer,0.0
Cory Joseph,0.1
Courtney Lee,0.1
Cristiano Felicio,0.4
D'Angelo Russell,1.0
D.J. Augustin,0.1
Dahntay Jones,1.0
Damian Jones,0.3
Damian Lillard,0.0
Damjan Rudez,0.2
Daniel Ochefu,0.3
Danilo Gallinari,2.5
Danny Green,0.0
Dante Cunningham,0.1
Dante Exum,0.0
Danuel House Jr.,0.0
Dario Saric,2.4
Darrell Arthur,0.6
Darren Collison,0.0
Darrun Hilliard,0.0
David Lee,2.2
David Nwaba,0.3
David West,3.2
Davis Bertans,0.2
DeAndre Jordan,2.1
DeAndre Liggins,0.1
DeAndre' Bembry,0.1
DeMar DeRozan,2.0
DeMarcus Cousins,9.9
DeMarre Carroll,0.1
Dejounte Murray,0.0
Delon Wright,0.0
Demetrius Jackson,0.0
Dennis Schroder,0.1
Denzel Valentine,0.0
Deron Williams,0.5
Derrick Favors,3.0
Derrick Jones Jr.,0.0
Derrick Rose,0.6
Derrick Williams,0.5
Devin Booker,2.2
Devin Harris,0.1
Dewayne Dedmon,0.3
Deyonta Davis,0.4
Diamond Stone,1.9
Dion Waiters,0.1
Dirk Nowitzki,3.4
Domantas Sabonis,1.7
Donatas Motiejunas,1.0
Dorian Finney-Smith,0.1
Doug McDermott,0.4
Dragan Bender,0.2
Draymond Green,3.7
Dwight Howard,3.6
Dwight Powell,0.2
Dwyane Wade,3.1
E'Twaun Moore,0.3
Ed Davis,0.3
Edy Tavares,2.0
Elfrid Payton,0.2
Elijah Millsap,0.0
Emmanuel Mudiay,0.1
Enes Kanter,7.7
Eric Bledsoe,0.5
Eric Gordon,0.1
Ersan Ilyasova,1.2
Evan Fournier,0.1
Evan Turner,1.5
Frank Kaminsky,2.5
Fred VanVleet,0.0
Garrett Temple,0.1
Gary Harris,0.0
Gary Neal,0.0
Gary Payton II,0.0
George Hill,0.3
Georges Niang,0.3
Georgios Papagiannis,2.7
Gerald Green,0.1
Gerald Henderson,0.5
Giannis Antetokounmpo,2.8
Glenn Robinson III,0.0
Goran Dragic,0.3
Gordon Hayward,1.0
Gorgui Dieng,1.4
Greg Monroe,5.4
Greivis Vasquez,0.0
Harrison Barnes,5.7
