Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Aaron Brooks,0.9,44.4,0.6,50.0
Aaron Gordon,6.3,57.1,2.7,33.1
Aaron Harrison,1.4,57.1,1.4,23.1
Aaron Jackson,5.0,40.0,0.0,0.0
Abdel Nader,1.6,31.3,0.2,22.2
Adreian Payne,0.7,100.0,1.0,50.0
Al Horford,5.2,55.8,2.1,42.2
Al Jefferson,3.7,59.5,2.1,44.6
Al-Farouq Aminu,2.9,48.3,0.6,14.3
Alan Williams,3.4,41.2,0.2,0.0
Alec Burks,3.1,48.4,1.1,39.4
Alec Peters,0.6,66.7,0.2,50.0
Alex Abrines,0.8,50.0,0.2,17.6
Alex Caruso,1.6,56.3,0.4,28.6
Alex Len,5.0,58.0,0.4,31.0
Alex Poythress,0.5,60.0,0.1,0.0
Alfonzo McKinnie,0.5,80.0,0.1,100
Allen Crabbe,2.2,54.5,1.7,34.1
Amir Johnson,2.9,58.6,0.1,30.0
Andre Drummond,10.9,54.1,0.3,32.0
Andre Iguodala,2.2,68.2,0.9,37.9
Andre Ingram,2.0,50.0,2.0,25.0
Andre Roberson,3.3,60.6,0.0,0.0
Andrew Bogut,1.1,63.6,0.0,100
Andrew Harrison,3.4,52.9,1.7,38.3
Andrew White III,1.0,40.0,0.7,10.0
Andrew Wiggins,7.1,57.7,4.6,31.8
Ante Zizic,2.5,76.0,0.1,25.0
Anthony Brown,0.0,,0.0,0.0
Anthony Davis,11.9,64.7,5.4,36.4
Anthony Tolliver,1.2,58.3,0.2,41.7
Antonio Blakeney,2.6,42.3,2.2,40.5
Antonius Cleveland,0.6,16.7,0.6,33.3
Aron Baynes,3.5,51.4,1.7,46.3
Arron Afflalo,0.7,57.1,1.0,32.7
Austin Rivers,6.7,47.8,0.6,25.0
Avery Bradley,5.2,50.0,3.9,36.9
Bam Adebayo,4.4,54.5,0.5,33.3
Ben McLemore,2.5,56.0,1.3,37.1
Ben Moore,0.0,,0.0,0.0
Ben Simmons,10.8,58.3,1.3,27.8
Bismack Biyombo,3.8,55.3,0.5,32.5
Blake Griffin,8.9,52.8,2.8,30.4
Boban Marjanovic,3.7,56.8,0.3,30.0
Bobby Brown,0.7,28.6,0.3,66.7
Bobby Portis,5.7,52.6,2.4,46.3
Bogdan Bogdanovic,3.2,50.0,2.5,46.9
Bojan Bogdanovic,4.4,56.8,1.5,47.9
Bradley Beal,6.5,55.4,5.1,44.8
Brandan Wright,3.4,58.8,0.3,37.5
Brandon Ingram,7.4,52.7,3.7,41.2
Brandon Jennings,1.6,43.8,1.1,50.0
Brandon Paul,1.1,63.6,0.3,21.4
Briante Weber,1.4,42.9,0.4,57.1
Brice Johnson,1.8,55.6,0.9,28.6
Brook Lopez,5.3,58.5,1.0,40.3
Bruno Caboclo,0.8,50.0,0.5,40.0
Bryn Forbes,1.7,47.1,1.8,42.1
Buddy Hield,3.5,51.4,3.1,41.5
C.J. Williams,2.2,63.6,1.1,43.6
CJ McCollum,7.2,48.6,5.4,42.9
CJ Miles,1.5,53.3,0.6,29.3
Caleb Swanigan,1.8,44.4,0.3,25.0
Cameron Payne,3.8,44.7,1.2,33.3
Caris LeVert,5.8,51.7,1.1,32.1
Carmelo Anthony,3.0,53.3,5.9,39.3
Cedi Osman,1.2,66.7,0.6,45.5
Chandler Parsons,1.9,63.2,1.3,37.8
Channing Frye,1.1,81.8,0.7,55.3
Charles Cooke,0.4,25.0,0.2,0.0
Cheick Diallo,2.6,65.4,0.9,37.2
Chinanu Onuaku,4.0,50.0,1.0,0.0
Chris Boucher,,,0.0,0.0
Chris McCullough,1.4,50.0,0.5,44.4
Chris Paul,4.1,51.2,3.1,53.9
Clint Capela,8.9,66.3,0.2,23.1
Cody Zeller,3.9,56.4,0.7,43.5
Cole Aldrich,1.0,30.0,0.0,0.0
Corey Brewer,2.7,55.6,0.1,50.0
Cory Joseph,2.4,50.0,2.7,40.8
Courtney Lee,3.1,58.1,3.1,39.5
Cristiano Felicio,3.3,63.6,0.5,36.7
D'Angelo Russell,5.6,50.0,2.6,44.4
D.J. Augustin,2.9,48.3,0.6,46.8
D.J. Wilson,0.5,100.0,0.2,0.0
Dakari Johnson,1.3,53.8,0.3,71.4
Damian Jones,1.1,63.6,0.3,20.0
