Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,CS_3PA,CS_3P%,PP100Pos,AST %,REB %,USG %,Height,Pos,TEAM,Class
Aaron Gordon: 2015,78.0,23.9,9.2,7.4,47.3,1.8,29.6,6.5,1.6,0.8,0.8,0.7,4.3,60.5,1.3,31.7,0.6,2.2,1.7,30.5,18.9,10.3,13.3,16.9,81.0,PF,ORL,5
Al Horford: 2015,82.0,32.1,15.2,12.8,50.5,3.1,34.4,7.3,3.2,1.3,0.8,1.5,5.6,64.3,4.1,44.4,3.8,2.1,3.0,35.1,22.9,16.5,10.9,20.2,82.0,C,ATL,5
Al Jefferson: 2015,47.0,23.3,12.0,10.7,48.5,0.0,0.0,6.4,1.5,0.7,0.6,0.9,6.8,51.5,4.0,43.9,11.3,0.0,0.0,0.0,25.3,11.4,13.3,24.0,82.0,C,CHA,3
Andre Drummond: 2015,81.0,32.9,16.2,13.1,52.1,0.1,33.3,14.8,0.8,1.9,1.5,1.4,12.2,54.1,0.8,25.0,6.0,0.9,0.0,0.0,24.6,4.2,21.7,23.9,83.0,C,DET,3
Andrew Bogut: 2015,70.0,20.7,5.4,4.0,62.7,0.0,100.0,7.0,2.3,1.2,0.5,1.6,3.8,65.8,0.1,30.0,2.5,0.1,0.0,0.0,12.4,14.5,16.3,11.5,84.0,C,GSW,5
Andrew Wiggins: 2015,81.0,35.1,20.7,16.0,45.9,2.3,30.0,3.6,2.0,2.2,1.0,0.6,8.1,59.3,5.6,34.1,3.9,7.5,1.6,33.8,29.1,9.8,5.3,26.7,80.0,SF,MIN,2
Blake Griffin: 2015,35.0,33.4,21.4,17.2,49.9,0.5,33.3,8.4,4.9,2.4,0.8,0.5,7.8,64.1,9.0,38.1,6.9,3.5,0.3,40.0,31.3,25.8,12.2,28.9,82.0,PF,LAC,2
Bojan Bogdanovic: 2015,79.0,26.8,11.2,9.5,43.3,4.3,38.2,3.2,1.3,1.5,0.4,0.1,3.8,50.0,1.4,40.0,1.0,3.6,3.6,39.2,20.7,7.3,6.1,19.0,80.0,SF,BKN,0
Bradley Beal: 2015,55.0,31.1,17.4,14.5,44.9,4.9,38.7,3.4,2.9,2.0,1.0,0.2,5.6,55.4,4.1,36.3,0.5,7.4,3.3,38.7,26.8,15.3,5.5,24.5,77.0,SG,WAS,4
CJ McCollum: 2015,80.0,34.7,20.8,17.9,44.8,5.9,41.7,3.2,4.3,2.5,1.2,0.3,6.2,48.4,5.8,44.6,0.1,11.3,3.7,43.6,29.3,21.1,4.5,26.6,76.0,SG,POR,6
CJ Miles: 2015,64.0,22.9,11.8,9.9,40.9,6.0,36.7,2.7,1.0,1.1,0.8,0.5,2.6,50.0,1.3,41.9,0.1,2.2,4.9,38.3,24.5,6.9,5.8,22.1,78.0,SF,IND,0
Chris Bosh: 2015,53.0,33.5,19.1,14.5,46.7,4.2,36.5,7.4,2.4,1.5,0.7,0.6,4.9,57.1,5.4,45.1,2.9,4.4,4.0,36.8,28.8,12.9,11.1,24.7,83.0,PF,MIA,4
Chris Paul: 2015,74.0,32.7,19.5,15.1,46.2,4.4,37.1,4.2,10.0,2.6,2.1,0.2,4.4,56.8,6.2,45.7,1.4,11.0,1.2,43.7,29.3,49.3,6.3,26.5,72.0,PG,LAC,6
D'Angelo Russell: 2015,80.0,28.2,13.2,12.0,41.0,4.6,35.1,3.4,3.3,2.5,1.2,0.2,4.4,50.0,3.0,35.9,0.6,5.4,2.8,36.3,23.1,21.3,5.8,23.8,77.0,PG,LAL,1
DeAndre Jordan: 2015,77.0,33.7,12.7,6.6,70.3,0.0,0.0,13.8,1.2,1.4,0.7,2.3,6.5,70.8,0.0,33.3,1.6,0.2,0.0,0.0,18.7,5.1,19.9,15.5,83.0,C,LAC,3
DeMar DeRozan: 2015,78.0,35.9,23.5,17.7,44.6,1.8,33.8,4.5,4.0,2.2,1.0,0.3,8.7,51.7,7.1,38.0,2.0,16.8,1.2,42.9,33.2,20.8,6.3,29.1,79.0,SG,TOR,6
DeMarcus Cousins: 2015,65.0,34.6,26.9,20.5,45.1,3.2,33.3,11.5,3.3,3.8,1.6,1.4,13.2,50.8,4.1,35.5,9.3,9.3,2.8,34.1,36.6,16.7,16.2,35.1,83.0,C,SAC,2
DeMarre Carroll: 2015,26.0,30.2,11.0,10.4,38.9,4.5,39.0,4.7,1.0,1.1,1.7,0.2,4.5,44.4,1.4,19.4,0.1,3.5,4.1,39.6,18.2,5.6,7.6,17.6,80.0,SF,TOR,4
Derrick Rose: 2015,66.0,31.8,16.4,15.9,42.7,2.3,29.3,3.4,4.7,2.7,0.7,0.2,8.3,47.0,5.3,41.9,0.2,13.5,1.6,33.7,25.3,25.0,5.0,26.6,75.0,PG,CHI,6
Ish Smith: 2015,77.0,29.1,12.6,12.6,41.1,2.2,32.9,4.0,6.5,2.3,1.1,0.3,6.9,46.4,3.4,35.1,0.1,15.4,1.0,35.4,21.0,37.0,6.5,23.5,72.0,PG,PHI,1
JR Smith: 2015,77.0,30.7,12.4,11.0,41.5,6.6,40.0,2.8,1.7,0.8,1.1,0.3,2.2,50.0,2.2,37.8,0.1,2.7,5.2,43.4,20.5,8.2,4.7,17.7,78.0,SG,CLE,4
James Harden: 2015,82.0,38.1,29.0,19.7,43.9,8.0,35.9,6.1,7.5,4.6,1.7,0.6,7.9,53.2,3.9,40.5,1.9,14.5,3.1,41.4,36.9,35.4,7.9,31.9,77.0,SG,HOU,6
Jeff Green: 2015,80.0,28.2,11.7,10.3,43.0,2.7,31.5,4.2,1.7,1.2,0.7,0.5,5.5,50.9,2.2,37.8,1.8,4.3,2.2,33.5,21.1,10.2,7.5,20.4,81.0,SF,LAC,4
Jeff Teague: 2015,79.0,28.5,15.7,12.5,43.9,3.5,40.1,2.7,5.9,2.8,1.2,0.3,7.1,49.3,1.9,32.5,0.3,15.1,1.4,47.4,26.5,34.1,4.5,25.9,74.0,PG,ATL,6
Kevin Durant: 2015,72.0,35.8,28.2,19.2,50.5,6.7,38.7,8.2,5.0,3.5,1.0,1.2,7.0,62.9,5.5,49.5,2.7,8.2,3.8,40.4,37.9,23.0,11.0,29.8,81.0,SF,OKC,2
Kevin Love: 2015,77.0,31.5,16.0,12.7,41.9,5.7,36.0,9.9,2.4,1.8,0.8,0.5,4.7,48.9,2.4,42.5,6.1,1.7,5.3,36.9,26.0,11.9,16.2,23.3,82.0,PF,CLE,4
Klay Thompson: 2015,80.0,33.3,22.1,17.3,47.0,8.1,42.5,3.8,2.1,1.7,0.8,0.6,5.5,56.4,3.8,42.3,1.5,5.1,6.9,44.1,31.4,9.4,5.5,26.0,79.0,SG,GSW,4
Kristaps Porzingis: 2015,72.0,28.4,14.3,12.3,42.1,3.4,33.3,7.3,1.3,1.7,0.7,1.9,5.1,47.1,3.9,43.9,4.1,2.0,3.2,34.1,25.4,7.6,12.4,24.3,87.0,PF,NYK,5
Kyle Korver: 2015,80.0,30.0,9.2,7.7,43.4,5.0,39.8,3.3,2.1,1.2,0.8,0.4,0.6,66.7,2.1,49.1,0.0,0.7,4.2,41.1,14.8,9.5,5.3,13.2,79.0,SG,ATL,0
Kyle Lowry: 2015,77.0,37.0,21.2,15.6,42.7,7.1,38.8,4.7,6.4,2.9,2.1,0.4,5.8,50.0,2.7,37.6,0.3,12.7,3.6,45.3,29.3,29.3,6.6,25.6,72.0,PG,TOR,6
LaMarcus Aldridge: 2015,74.0,30.6,18.0,14.1,51.3,0.2,0.0,8.5,1.5,1.3,0.5,1.1,6.8,61.8,7.1,43.6,8.0,1.2,0.2,0.0,30.0,8.1,14.4,25.8,83.0,PF,SAS,3
Larry Nance Jr: 2015,63.0,20.1,5.5,4.8,52.7,0.2,10.0,5.0,0.7,0.7,0.9,0.4,2.9,65.5,1.6,38.8,0.4,0.7,0.1,12.5,13.7,5.5,12.0,12.4,81.0,PF,LAL,3
Lavoy Allen: 2015,79.0,20.2,5.4,4.7,51.6,0.0,0.0,5.4,1.0,0.9,0.3,0.5,3.1,58.1,1.6,35.5,2.2,0.2,0.0,0.0,13.4,7.0,13.0,12.8,81.0,PF,IND,3
LeBron James: 2015,76.0,35.6,25.3,18.6,52.0,3.7,30.9,7.4,6.8,3.3,1.4,0.6,10.8,64.8,4.1,37.5,4.4,11.1,1.3,33.3,35.9,33.9,10.6,30.5,80.0,SF,CLE,6
Matthew Dellavedova: 2015,76.0,24.6,7.5,6.7,40.5,3.1,41.0,2.1,4.4,1.5,0.6,0.1,2.4,41.7,1.2,38.2,0.1,5.5,2.2,45.7,15.4,26.5,4.3,15.5,76.0,PG,CLE,1
Michael Carter-Williams: 2015,54.0,30.5,11.5,10.3,45.2,1.0,27.3,5.1,5.2,2.8,1.5,0.8,6.6,51.5,2.6,36.6,0.9,11.5,0.8,27.9,18.7,26.4,8.5,20.6,78.0,PG,MIL,1
Monta Ellis: 2015,81.0,33.8,13.8,12.6,42.7,3.5,30.9,3.3,4.7,2.5,1.9,0.5,4.5,53.3,4.7,40.1,0.2,6.8,2.2,32.0,19.9,22.2,4.8,20.8,75.0,SG,IND,1
Nicolas Batum: 2015,70.0,35.0,14.9,12.5,42.6,5.7,34.8,6.1,5.8,2.9,0.9,0.6,3.0,60.0,3.8,40.3,1.8,5.3,4.1,36.5,21.1,26.2,8.6,20.9,80.0,SF,CHA,4
Nikola Jokic: 2015,80.0,21.7,10.0,7.5,51.2,1.1,33.3,7.0,2.4,1.3,1.0,0.6,5.4,57.4,1.1,39.3,3.3,0.6,0.9,36.8,22.8,17.6,15.9,19.4,82.0,C,DEN,5
Nikola Vucevic: 2015,65.0,31.3,18.2,16.1,51.0,0.1,22.2,8.9,2.8,1.9,0.8,1.1,8.4,56.0,7.6,46.0,10.6,2.6,0.1,25.0,28.8,15.4,14.2,26.5,84.0,C,ORL,2
PJ Tucker: 2015,82.0,31.0,8.0,7.1,41.1,2.5,33.0,6.2,2.2,1.4,1.3,0.2,3.8,47.4,0.7,33.3,1.2,2.5,2.2,36.7,12.4,10.4,9.8,12.5,78.0,SF,PHX,0
Ricky Rubio: 2015,76.0,30.6,10.1,7.7,37.4,2.5,32.6,4.3,8.7,2.5,2.1,0.1,2.1,42.9,3.2,35.4,0.1,8.7,2.2,33.5,16.3,40.2,7.2,17.3,76.0,PG,MIN,1
Russell Westbrook: 2015,80.0,34.4,23.5,18.1,45.4,4.3,29.6,7.8,10.4,4.3,2.0,0.3,9.6,54.2,4.2,42.9,1.4,16.1,1.2,33.3,33.2,46.8,10.9,31.1,75.0,PG,OKC,6
Stephen Curry: 2015,79.0,34.2,30.1,20.2,50.4,11.2,45.4,5.4,6.7,3.3,2.1,0.2,6.5,61.5,2.5,42.5,0.3,8.0,4.7,47.7,41.1,31.5,7.6,31.4,75.0,PG,GSW,6
Steven Adams: 2015,80.0,25.2,8.0,5.3,61.3,0.0,0.0,6.7,0.8,1.1,0.5,1.1,5.1,62.7,0.2,42.9,0.9,0.2,0.0,0.0,15.5,4.2,12.6,12.5,84.0,C,OKC,3
Taj Gibson: 2015,73.0,26.5,8.6,6.8,52.6,0.0,0.0,6.9,1.5,1.1,0.6,1.1,5.1,56.9,1.7,38.9,3.9,0.4,0.0,0.0,16.2,8.3,12.2,14.4,81.0,PF,CHI,3
Tobias Harris: 2015,76.0,33.1,14.7,11.7,46.9,3.1,33.5,6.7,2.2,1.4,0.9,0.5,6.5,55.4,2.1,38.2,2.7,5.3,2.9,34.1,22.2,10.6,10.1,19.2,81.0,PF,DET,4
Tony Parker: 2015,72.0,27.5,11.9,9.9,49.3,0.9,41.5,2.4,5.3,1.8,0.8,0.2,5.0,56.0,3.9,42.5,0.1,12.3,0.8,37.9,22.0,29.4,4.6,21.1,74.0,PG,SAS,1
Tristan Thompson: 2015,82.0,27.7,7.8,5.1,58.8,0.0,0.0,9.0,0.8,0.7,0.5,0.6,4.9,61.2,0.2,29.4,0.5,0.4,0.0,0.0,14.4,4.0,16.2,11.4,81.0,PF,CLE,3
Tyson Chandler: 2015,66.0,24.5,7.2,4.8,58.3,0.0,0.0,8.7,1.0,1.4,0.5,0.7,4.3,62.8,0.5,12.9,0.9,0.2,0.0,0.0,14.2,6.4,17.4,12.6,85.0,C,PHX,3
Victor Oladipo: 2015,72.0,33.0,16.0,13.5,43.8,3.9,34.8,4.8,3.9,2.1,1.6,0.8,5.8,50.0,3.8,43.2,0.1,8.0,2.9,35.4,23.8,18.2,7.1,22.4,76.0,SG,ORL,4
Wesley Johnson: 2015,80.0,20.8,6.9,6.4,40.4,3.9,33.3,3.1,0.6,0.7,1.1,0.7,1.1,63.6,1.5,38.8,0.2,0.3,3.6,34.0,15.8,4.5,7.2,15.3,79.0,SF,LAC,0
Wesley Matthews: 2015,78.0,33.9,12.5,10.9,38.8,6.7,36.0,3.1,1.9,1.0,1.0,0.2,2.3,47.8,1.9,41.1,2.4,3.5,5.0,39.6,18.6,8.8,4.5,17.1,77.0,SF,DAL,4
Will Barton: 2015,82.0,28.7,14.4,12.0,43.2,4.0,34.5,5.8,2.5,1.7,0.9,0.5,5.9,52.5,2.1,34.1,0.1,7.3,2.7,36.2,24.7,14.7,9.9,22.6,78.0,SG,DEN,4
Andre Roberson: 2016,79.0,30.1,6.6,5.9,46.4,2.3,24.5,5.1,1.0,0.6,1.2,1.0,3.4,64.7,0.1,28.6,0.1,1.2,2.2,25.0,10.6,4.5,8.1,9.9,79.0,SF,OKC,0
