Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
Aaron Gordon: 2015,78.0,23.9,9.2,47.3,1.8,29.6,6.5,1.6,0.8,0.8,0.7,4.3,60.5,1.3,31.7,0.6,2.2,81.0,PF,ORL,2
Al Horford: 2015,82.0,32.1,15.2,50.5,3.1,34.4,7.3,3.2,1.3,0.8,1.5,5.6,64.3,4.1,44.4,3.8,2.1,82.0,C,ATL,2
Al Jefferson: 2015,47.0,23.3,12.0,48.5,0.0,0.0,6.4,1.5,0.7,0.6,0.9,6.8,51.5,4.0,43.9,11.3,0.0,82.0,C,CHA,3
Andre Drummond: 2015,81.0,32.9,16.2,52.1,0.1,33.3,14.8,0.8,1.9,1.5,1.4,12.2,54.1,0.8,25.0,6.0,0.9,83.0,C,DET,5
Andrew Bogut: 2015,70.0,20.7,5.4,62.7,0.0,100.0,7.0,2.3,1.2,0.5,1.6,3.8,65.8,0.1,30.0,2.5,0.1,84.0,C,GSW,2
Andrew Wiggins: 2015,81.0,35.1,20.7,45.9,2.3,30.0,3.6,2.0,2.2,1.0,0.6,8.1,59.3,5.6,34.1,3.9,7.5,80.0,SF,MIN,5
Blake Griffin: 2015,35.0,33.4,21.4,49.9,0.5,33.3,8.4,4.9,2.4,0.8,0.5,7.8,64.1,9.0,38.1,6.9,3.5,82.0,PF,LAC,5
Bojan Bogdanovic: 2015,79.0,26.8,11.2,43.3,4.3,38.2,3.2,1.3,1.5,0.4,0.1,3.8,50.0,1.4,40.0,1.0,3.6,80.0,SF,BKN,1
Bradley Beal: 2015,55.0,31.1,17.4,44.9,4.9,38.7,3.4,2.9,2.0,1.0,0.2,5.6,55.4,4.1,36.3,0.5,7.4,77.0,SG,WAS,4
CJ McCollum: 2015,80.0,34.7,20.8,44.8,5.9,41.7,3.2,4.3,2.5,1.2,0.3,6.2,48.4,5.8,44.6,0.1,11.3,76.0,SG,POR,0
